,Dataset,Model,F1 Score,F1 Score Std,Training Time (s),Test Time (s)
182,X_train_2,Logistic Regression,0.5220406141654285,0.0,4.7808427810668945,0.0009539127349853516
183,X_train_2,Bagging (Logistic Regression),0.5235032162295893,0.0,27.163100719451904,0.0215303897857666
184,X_train_2,Random Forest Classifier,0.7363520947947525,0.0,35.25549292564392,0.3841102123260498
185,X_train_2,AdaBoost Classifier,0.6039076376554174,0.0,27.536444902420044,0.37636756896972656
186,X_train_2,SVC,0.19859961807765752,0.0,24.565653562545776,6.32898473739624
187,X_train_2,Stacking Classifier,0.4436061863447756,0.0,124.79176902770996,6.312227487564087
188,X_train_2,XGBoost Classifier,0.7727815360127338,0.0,8.605262517929077,0.012712478637695312
189,X_train_3,Logistic Regression,0.5380564863571087,0.0,4.485820531845093,0.0043392181396484375
190,X_train_3,Bagging (Logistic Regression),0.5349952061361457,0.0,25.636566400527954,0.05542325973510742
191,X_train_3,Random Forest Classifier,0.7390202702702703,0.0,35.49929475784302,0.3850271701812744
192,X_train_3,AdaBoost Classifier,0.6071741032370954,0.0,27.661372900009155,0.3864116668701172
193,X_train_3,SVC,0.2055485498108449,0.0,24.257916927337646,6.021243095397949
194,X_train_3,Stacking Classifier,0.4519985057900635,0.0,123.7318274974823,6.232338190078735
195,X_train_3,XGBoost Classifier,0.7927999999999998,0.0,9.143159627914429,0.013519287109375
196,X_train_0,Logistic Regression,0.5553869499241275,0.0,4.107547998428345,0.0009393692016601562
197,X_train_0,Bagging (Logistic Regression),0.5574102175012645,0.0,25.80470848083496,0.01775193214416504
198,X_train_0,Random Forest Classifier,0.7535335689045937,0.0,35.55356955528259,0.3840982913970947
199,X_train_0,AdaBoost Classifier,0.637546468401487,0.0,27.65162754058838,0.3735942840576172
200,X_train_0,SVC,0.22503328894806923,0.0,25.038217782974243,6.265616416931152
201,X_train_0,Stacking Classifier,0.43956043956043955,0.0,128.09450268745422,6.489903688430786
202,X_train_0,XGBoost Classifier,0.7869529314616021,0.0,9.283660888671875,0.01743006706237793
